id,question,question_category,number_of_answer,number_of_vote,number_of_view,answer_link,question_tag,answer
p-1-a-None,মনেরা এবং ফানজাই এর পার্থক্য লিখ।,জীববিজ্ঞান,0,0,7,https://www.sciencebee.com.bd/qna/33110/%E0%A6%AB%E0%A6%BE%E0%A6%A8%E0%A6%9C%E0%A6%BE%E0%A6%87-%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%95%E0%A7%8D%E0%A6%AF,"['পার্থক্য-মনেরা-ফানজাই', 'home']",
p-1-a-None,মা বাবার উচ্চতা অনুযায়ী সন্তানের উচ্চতা মাপার কি কোন সমীকরণ রয়েছে?,স্বাস্থ্য ও চিকিৎসা,0,0,6,https://www.sciencebee.com.bd/qna/33108/%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%AF%E0%A6%BE%E0%A7%9F%E0%A7%80-%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0,"['উচ্চতা', 'জেনেটিক']",
p-1-a-None,ChatGPT কী?,প্রযুক্তি,0,0,8,https://www.sciencebee.com.bd/qna/33107/chatgpt-%E0%A6%95%E0%A7%80,"['#tech', 'chatgpt']",
p-1-a-None,What is A-Ret Gel (tretinoin)?,স্বাস্থ্য ও চিকিৎসা,0,0,5,https://www.sciencebee.com.bd/qna/33099/what-tretinoin,"['health', 'a', 'ret', 'gel']",
p-1-a-None,মানুষ Handshake করার পরে হাত কেন বুকে নেয়।,লাইফ,0,0,13,https://www.sciencebee.com.bd/qna/33098/%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7-handshake,"['মানুষ', 'বুকে']",
p-1-a-None,বৈদ্যুতিক মোটর কিভাবে কাজ করে ? [poll],পদার্থবিজ্ঞান,0,0,7,https://www.sciencebee.com.bd/qna/33097/%E0%A6%AC%E0%A7%88%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%95%E0%A6%BF%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87,"['মোটর', '#জানতে']",
p-1-a-0,মাছ কি শীত অনুভব করতে পারে?,প্রাণিবিদ্যা,1,0,97,https://www.sciencebee.com.bd/qna/33080/%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%AD%E0%A6%AC-%E0%A6%95%E0%A6%B0%E0%A6%A4%E0%A7%87-%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%87,"['মাছ', 'ঠান্ডা', 'শীত', 'শীতকাল']","হ্যাঁ মানুষ এবং অন্যান্য প্রাণীদের মতো মাছেরাও তাপমাত্রার প্রতি তীব্র সংবেদনশীল।কোনো একটি নির্দিষ্ট মাছের প্রজাতির স্বাভাবিকভাবে বেঁচে থাকা এবং বংশবিস্তারের জন্য পরিবেশের তাপমাত্রা অনুকূল থাকা অত্যন্ত জরুরী। উদাহরণস্বরূপ: রুইজাতীয় মাছ চাষের জন্য অনুকূল তাপমাত্রা ২৫-৩০ ডিগ্রী সেন্টিগ্রড। কোন কারণে পুকুরে পানির তাপমাত্রা স্বাভাবিকের চেয়ে বেড়ে গেলে বা কমে গেলে তা রুই মাছের দৈহিক বৃদ্ধি এবং বংশ বিস্তারে প্রতিকূলতা সৃষ্টি করে। আর শুধু রুই মাছই না শীতকালে তাপমাত্রা হ্রাস পাওয়ার ফলে অনেক মাছই তাদের খাদ্য গ্রহণের পরিমাণ কমিয়ে দেয় (সোর্স:মাধ্যমিক কৃষিশিক্ষা) ফলে শীতকালে মাছের দৈহিক বৃদ্ধি বছরের অন্য সময়ের চেয়ে অনেক কম যায়। প্রকৃতপক্ষে, মাছ শুধু তাপমাত্রায় উপর সংবেদনশীলই নয় বরং কোনো নির্দিষ্ট মৎস প্রজাতির জীবন ধারনের জন্য অনুকূল তাপমাত্রার সামান্য হেরফের হলে সেটা সেই মাছের জন্য প্রাণঘাতী হয়ে উঠতে পারে। তবে, লক্ষ লক্ষ বছরের বিবর্তনের ধারায় অনেক মাছের প্রজাতি নিজেদেরকে এমনভাবে অভিযোজিত করে ফেলেছে যে তারা সাইবেরিয়ার মত বরফ শীতল এলাকার নদী বা লেকগুলোতে অনাসায়েই বেঁচে থাকতে পারে। এমনকি শীতকালে যখন কোনো লেক বা নদীর পানির উপরিভাগ পুরোপুরিভাবে জমে যায় (নিচের ভাগ পানির স্রোতের কারণে জমেনা) তখন সেই প্রতিকূল পরিবেশে Char, Trout, Salmon, Raylingayling, Burbot এর মতো মৎস প্রজাতি ভালোভাবেই টিকে থাকতে পারে।Shah Reyajur Rahman Raj || সায়েন্স বী"
p-1-a-1,অ্যানিম্যালিয়া পর্ব বিস্তারিত ব্যাখ্যা সম্পর্কে একটু বলুন,জীববিজ্ঞান,1,0,10,https://www.sciencebee.com.bd/qna/33072/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE,"['অ্যানিম্যালিয়া', 'পর্ব', 'বিস্তারিত', 'ব্যাখ্যা']","Animalia কোনো পর্ব নয়, এটি একটি রাজ্য বা কিংডম। এনিমেলিয়া মানেই প্রাণিজগৎ, এই রাজ্যের অন্তর্ভুক্ত সকল জীবই প্রাণী। এতে প্রায় ১৫০০০০০+ প্রজাতির জীব বা এককথায় প্রাণী আছে।এটি সবচেয়ে উন্নত রাজ্য,জীবজগতের ৫টি রাজ্যের মধ্যে। এর অন্তর্ভুক্ত আছে ৩৩ টি পর্ব যাদের মধ্যে ৯টি প্রধান পর্ব হিসেবে পরিচিত। পর্বগুলোর মধ্যে কর্ডাটা পর্বের ম্যামালিয়া শ্রেণির অন্তর্ভুক্ত হচ্ছে মানুষ ও অনান্য স্তন্যপায়ী প্রাণী।"
p-1-a-2,পানিকে বিশ্লেষিত করলে আলাদাভাবে H ও O পাওয়া যাবে কি?,রসায়ন,1,0,16,https://www.sciencebee.com.bd/qna/33071/%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%B2%E0%A7%87%E0%A6%B7%E0%A6%BF%E0%A6%A4-%E0%A6%86%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A6%BE%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87,"['#chemistry', '#ask']",ইলেক্ট্রোলাইসিস বা তড়িৎবিশ্লেষণ প্রক্রিয়ার পানি থেকে অক্সিজেন ও হাইড্রোজেন গ্যাস উৎপাদন করা যায়।গ্রাম মেশিন নামক এক ধরনের মেশিনের সাহায্যে পানিকে বিশ্লেষণ করে অক্সিজেন ও হাইড্রোজেন পাওয়া যায়। গানিতিক ভাবে ২মোল পানি থেকে ২মোল হাইড্রোজেন গ্যাস ও ১মোল অক্সিজেন গ্যাস সৃষ্টি করা যায়।2H2O ----> 2H2 + O2
p-1-a-3,মানুষ মদ খেলে মাতাল হয় কেন?,চিন্তা ও দক্ষতা,1,0,28,https://www.sciencebee.com.bd/qna/33068/%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7-%E0%A6%AE%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2,"['মদ', 'মদ্যপান', 'মাতাল']","মদের মূল উপাদান এলকোহল বা একে সরাসরি এলকোহলও বলা হয়।এর রাসায়নিক উপাদানগুলো মস্তিষ্কের উপর প্রভাব ফেলে।এটি নিউরণের গতি ধীর করে দেয় এবং সাথে সাথে ডোপামিন নিঃসরণ করে যা মানুষের আনন্দ প্রকাশক স্নায়ু অংশতে কাজ করে। ফলে মানুষ আনন্দ অনুভব করে পাশাপাশি চিন্তাভাবনা করার ক্ষমতাও হ্রাস পায়,ফলে মানুষ অসংলগ্ন আচরণ করে যাকে আমরা মাতাল হওয়া বলি।"
p-1-a-None,বর্তমান সময়ে ডাইনোসরের মত বিশাল আকৃতির কোনো স্থলজ প্রাণী নেই কেন?,তত্ত্ব ও গবেষণা,0,0,16,https://www.sciencebee.com.bd/qna/33065/%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%AE%E0%A6%BE%E0%A6%A8-%E0%A6%A1%E0%A6%BE%E0%A6%87%E0%A6%A8%E0%A7%8B%E0%A6%B8%E0%A6%B0%E0%A7%87%E0%A6%B0,"['ডাইনোসর', 'স্থল']",
p-1-a-4,বই পড়ার ভালো দিক কি কি??,চিন্তা ও দক্ষতা,1,+1,11,https://www.sciencebee.com.bd/qna/33062/%E0%A6%AA%E0%A7%9C%E0%A6%BE%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%B2%E0%A7%8B-%E0%A6%A6%E0%A6%BF%E0%A6%95,"['বই', 'পড়া', 'ইসলামিক']","বই পড়ার গুরুত্ব, উপকারিতা এবং প্রয়োজনীয়তাযদি আপনি নিয়মিত বই পড়ার অভ্যাস করতে পারেন তাহলে এক্ষেত্রে আপনার প্রচুর উপকারীতা বা লাভ রয়েছে।চলুন নিচে বই পড়ার ৮ টি প্রয়োজনীয়তা, উপকারীতা বা লাভ সম্পর্কে বিস্তারিত জেনে নিই।নিয়মিত বই পড়ার উপকারিতা গুলো – (সেরা ৮টি)বইয়ের মাধ্যমে মানুষ যুগ যুগান্তরের জ্ঞান আনন্দকে ভবিষ্যতের জন্য রেখে যেতে পারে। বিশ্বের মহামূল্যবান গ্রন্থগুলো মানুষের জ্ঞান বিজ্ঞান, শিল্প সাহিত্য সাধনার নির্বাক সাক্ষী।১. বই মানুষের মনের কৌতূহল মেটায়বৈচিত্র্যময় এ পৃথিবীর সব স্থানে লুকিয়ে আছে বিস্ময়। অজানা, অবারিত বিভিন্ন বিষয় সম্পর্কে আমাদের ধারণা দিতে পারে বই। বইয়ের মাধ্যমে মানুষ মুহূর্তে ছুটে যেতে পারে পৃথিবীর এক প্রান্ত থেকে আরেক প্রান্তে।২. বই নিঃসঙ্গের সঙ্গীনির্জন অরণ্যে কিংবা জনহীন দ্বীপে মানুষ থাকে নিঃসঙ্গ। কিন্তু যদি তার কাছে বই থাকে তাহলে তার মনের সমস্ত বেদনা দূর হয়ে যেতে পারে।রবীন্দ্রনাথ, নজরুল, বিভূতিভূষণ, শেকসপিয়র, গ্যেটে, ওয়ার্ডসওয়ার্থ, শেলি, দস্তয়ভস্কি কিংবা গোর্কির লেখা বই যদি সাথে থাকে, তবে মানুষের হৃদয় মনের অনেক অভাব ঘুচে যায়।৩. বই হলো অনাবিল আনন্দের উৎসনানা ঘাত প্রতিঘাতে মানুষ কখনো কখনো বিপর্যস্ত হয়ে পড়ে, ডুবে যায় হতাশায়। এ হতাশা ঘোচাতে পারে একটি ভালো বই। উৎকৃষ্ট বই মানুষকে দেয় অনাবিল আনন্দ। মানুষের উচ্চতর বৃত্তিগুলো চায় সত্য, জ্ঞান ও আনন্দের আলো জ্ঞান সাধনা ও শিল্প সাধনা মানুষকে প্রতিদিনের তুচ্ছতার সংসার থেকে তুলে নেয় এক উচ্চতর চিন্তার জগতে।প্রতিদিনের ব্যস্ততা, হানাহানি ও সমস্যাক্লিস্ট জীবনের কর্কশতা ভুলিয়ে বই মনকে দেয় আনন্দ। সেইসাথে করে জ্ঞানের বিস্তার।বিখ্যাত দার্শনিক বার্ট্রান্ড রাসেলের মতে, সংসারের জ্বালা যন্ত্রণা এড়াবার প্রধান উপায় হচ্ছে মনের ভেতর আপন ভুবন সৃষ্টি করা। তাঁর মতে, যে যত বেশি ভুবন তৈরি করতে পারে, যন্ত্রণা এড়াবার ক্ষমতা তার তত বেশি হয়। দুঃখ বেদনার মুহূর্তে, মানসিক অশান্তিতে ও দুর্বলতার সময়ে বই মানুষের মনে শাস্তি দেয় ও প্রেরণা জোগায়। বই মানুষকে দেয় নব নব প্রেরণা, উৎসাহ ও মানসিক প্রশান্তি।৪. সভ্যতা ও সংস্কৃতির বিকাশ ঘটায় বইবই অতীত, বর্তমান ও ভবিষ্যতের মধ্যে সেতু রচনা করে। বইয়ের সাহচর্যেই মানুষ এগিয়ে যায় অগ্রযাত্রার পথে। আমাদের বৃহত্তর জীবনের যাত্রাপথের সবচেয়ে বড়ো সঙ্গী হলো বই। শিল্পকলা ও সাহিত্য মানুষের মনকে অনাবিল আনন্দ দেয়।জ্ঞান বিজ্ঞান মানুষের প্রয়োজনের ফসল। আর জগৎ রহস্যের উৎস সন্ধানে আমরা পেয়েছি জীবনের নানা দর্শনকে। বই এসবের ধারক। যাদের মহৎ অবদানে এগুলো আমরা পেয়েছি তাঁরা আমাদের মধ্যে আজ নেই।আজকের দিনে আমরা কোথায় পাব হোমার, ভার্জিল, দান্তে, গ্যেটে, শেক্সপিয়র, দস্তয়ভস্কি আর রবীন্দ্রনাথের সাক্ষাত? কোথায় পাব মাদাম কুরি, মার্কনি, টমাস আলভা এডিসন, জগদীশচন্দ্র বসুকে?একবিংশ শতাব্দীতে প্লেটো, অ্যারিস্টটল আর কার্ল মার্কসকে প্রত্যক্ষভাবে দেখার সুযোগ পাওয়া অসম্ভব। কিন্তু যদি থাকে একটা গ্রন্থাগার, তাহলে তাদের বইয়ের মধ্য দিয়ে পাওয়া যাবে তাঁদের সান্নিধ্য। অনুভব করা যাবে তাঁদের নিঃশব্দ উপস্থিতি।কেবল বইয়ের মাধ্যমেই বিখ্যাত সব মনীষীর চিন্তাধারার সাথে পরিচিত হয়ে জ্ঞান, আনন্দ ও পরিতৃপ্তি পাওয়া যেতে পারে। বই পড়ার উপকারিতা গুলোর মধ্যে এটি খুবই গুরুত্বপূর্ণ।৫. মানুষকে উদার করে বইমানুষের হৃদয়ের বিচিত্র অনুভূতি, আবেগ ও ভাবকে উপলব্ধি করা যায় বই পড়ার মাধ্যমে। ত্যাগের কাহিনি, বীরত্বের মহিমা, সত্যের জন্য আত্মদান, নানা দেশের ঐতিহাসিক ও ভৌগোলিক বৃত্তান্ত, সামাজিক আচার আচরণ, বিজ্ঞানের বিস্ময়কর আবিষ্কার, দুঃসাহসিক অভিযান ও ভ্রমণবৃত্তান্ত মানুষকে কৌতূহলী, উদার, মানবিক এবং সমাজের প্রতি দায়বদ্ধ হতে শেখায়।বই পড়ে মনের দিগন্ত হয় উন্মোচিত ও প্রসারিত। ভালো বই কুসংস্কারাচ্ছন্ন মনকে শুদ্ধ করে, মানুষ খুঁজে পায় যথার্থ মানুষ হয়ে ওঠার ঠিকানা। মনের জানালা খুলে যায়, উঁকি দেয় মুক্তচিন্তা। বইয়ের মধ্যে এসে মেশে বিভিন্ন জাতির বিচিত্র জ্ঞান বিজ্ঞান, শিল্প সাহিত্যের বহুমুখী স্রোতধারা। আর সে ধারায় মিশে অর্জিত হয় মানুষের সুখ ও শান্তি।৬. বই শব্দভান্ডার বাড়াতে সাহায্য করেআমরা যখন প্রতিদিন কোন না বই পড়ি তখন আমরা প্রতিনিয়ত অনেক নতুন নতুন শব্দগুলোর সাথে পরিচিত হতে থাকি যেগুলো আমাদের অজানা।ফলে আমরা বই পড়ার মাধ্যমে অজানা অনেক শব্দ জানতে পারি এবং সেগুলোর অর্থ বুঝতে পারি।যখন আমাদের শব্দভান্ডার বেড়ে যায় অর্থাৎ আমরা প্রচুর ভালো ভালো শব্দগুলো জানতে পারি তাই আমরা যখন অন্য কোন একজন ভালো ব্যক্তির সাথে কথা বলে থাকি তখন সেই সকল শব্দগুলো প্রয়োগ করার মাধ্যমে আমাদের কথা বলার স্টাইলকে আরো সুন্দর করে তুলতে পারি।বই পড়ার এই বিশেষ উপকারিতাটি আমাদের ভাষাগত ভাবে অনেক উন্নতি করে থাকে।৭. লক্ষ্য পূরণে আত্মবিশ্বাস বাড়ায় বইআমাদের প্রত্যেকেরই ভবিষ্যতে ভালো কিছু করার লক্ষ্য থাকে এবং সেই লক্ষ্য পূরণের জন্যই আমরা এগিয়ে যেতে থাকি।এতে আমাদের প্রচুর আত্মবিশ্বাসের প্রয়োজন হয়ে থাকে। কেননা যেকোন কাজে সফল হতে আত্মবিশ্বাস খুবই গুরুত্বপূর্ণ ভুমিকা পালন করে থাকে।তাই আমরা যখন এমন বই পড়ি যেখানে সফল ব্যক্তিদের জীবনী উল্লেখ করা থাকে তখন আমরা তাদের জীবন কাহিনী গুলো পড়ে নিজের আত্মবিশ্বাস বাড়িয়ে নিই।কেননা সফল ব্যক্তিরা সফলতা অর্জনের জন্য যেসকল কাজ করেন আমরাও যদি তাদের পথ অনুসরণ করে কাজ করতে থাকি তাহলে আমরাও একদিন সফলতার চূড়ায় পৌছাতে পারবো।৮. মনে রাখার ক্ষমতা বাড়েআমরা যখন কোন বই পড়তে বসি তখন খুবই মনযোগের সাথে বইটি পড়ে থাকি। বইয়ে কি লেখা রয়েছে যেগুলো পড়ি এবং বোঝার চেষ্টা করে থাকি।ফলে আমরা যে বিষয়টি বইয়ে পড়ে থাকি সেটি আমাদের মস্তিষ্কে দীর্ঘদিন মনে থাকে।এভাবে প্রতিনিয়ত বই পড়লে আমাদের মস্তিষ্ক নতুন নতুন বিষয়গুলোর সাথে পরিচিত হয় এবং সেগুলো মস্তিষ্কে থেকে যায়।তাই প্রতিদিন বই পড়ার অভ্যাস আমাদের মনে রাখার ক্ষমতাকে বাড়িয়ে তোলে।"
p-1-a-5,তাপমাত্রা মাইনাসে গেলেই কি তুষারপাত হওয়া অবশ্যম্ভাবী? হলে কেন?,পরিবেশ,2,+1,28,https://www.sciencebee.com.bd/qna/33060/%E0%A6%85%E0%A6%AC%E0%A6%B6%E0%A7%8D%E0%A6%AF%E0%A6%AE%E0%A7%8D%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%80,"['তুষারপাত', 'বরফ', 'শীতকাল', 'তাপমাত্রা']","It is not inevitable that it will snow when the temperature drops to minus, but it is more likely to occur in cold temperatures. Snow is formed when the temperature is cold enough for water vapor to condense and freeze into ice crystals, which then fall to the ground. If the temperature is below freezing, it is more likely that the water vapor in the air will condense and freeze into snow. However, other factors, such as humidity and the presence of ice nucleators, also play a role in whether it will snow."
p-1-a-6,তাপমাত্রা মাইনাসে গেলেই কি তুষারপাত হওয়া অবশ্যম্ভাবী? হলে কেন?,পরিবেশ,2,+1,28,https://www.sciencebee.com.bd/qna/33060/%E0%A6%85%E0%A6%AC%E0%A6%B6%E0%A7%8D%E0%A6%AF%E0%A6%AE%E0%A7%8D%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%80,"['তুষারপাত', 'বরফ', 'শীতকাল', 'তাপমাত্রা']",তুষারপাত হতে হলে তাপমাত্রা মাইনাসে যেতে হবে এবং সেই এলাকায় পর্যাপ্ত পরিমাণ জলীয়বাষ্প থাকতে হবে তবেই তুষার পাত হাবে। যদি পর্যাপ্ত পরিমাণ জলীয়বাষ্প না থাকে তাহলে কিন্তু তুষার পাত হবে না।
p-1-a-7,"৫/৭ একটি মূলদ সংখ্যা ও ০.৭১৪২৮৫.... একটি অমূলদ সংখ্যা, কিন্তু ৫/৭ = ০.৭১৪২৮৫..., তাহলে কেন দুটোকে পৃথক পৃথক নাম দেওয়া হলো? মূলদ ও অমূলদ সংখ্যা কি একই হতে পারে?",গণিত,1,+1,12,https://www.sciencebee.com.bd/qna/33059/%E0%A7%AD%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%AE%E0%A7%AB-%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE,"['গণিত', 'সংখ্যা']","যেসকল সংখ্যাকে p/q আকারে প্রকাশ করা যায় তাদেরকে মূলদ সংখ্যা বলে। আর যাদের যায় না তারা অমূলদ সংখ্যা। সুতরাং ৫/৭ একটি মূলদ সংখ্যা যাকে দশমিক লিখলে মূলত হয় ০.৭'১৪২৮৫&prime;(পৌনঃপুনিক)।  এর অর্থ ৫কে ৭ দিয়ে ভাগ করলে দশমিকের পরে ৭১৪২৮৫ এই সংখ্যাগুলোই ঘুরে ফিরে বারাবার আসবে,একে আবৃত দশমিক সংখ্যা বলে, তাই এটি মূলদ সংখ্যা। কিন্তু ০.৭১৪২৮৫...... এখানে কোনো পৌনঃপুনিক চিহ্ন (&prime;) নাই অর্থাৎ এই সংখ্যাগুলোর পরে কি আসবে তা আমরা জানি না একে অনাবৃত দশমিক সংখ্যা বলে। কিন্তু ৫/৭ এর ক্ষেত্রে একই সংখ্যা ঘুরে ফিরে বারবার আসে তাই এটি মূলদ।মূলত ৫/৭=০.৭১৪২৮৫৭১৪২৮৫৭১৪২৮৫৭১৪২৮৫এভাবে আসতে থাকবে কিন্তু নির্দিষ্ট কিন্তু সংখ্যা, তাই এটি মূলদ। p/q আকারে প্রকাশ করা গেলেই মূলদ।"
